,name,da_avg_time,da_avg_energy,sw_avg_time,sw_avg_energy
0,tai60a.dat,13.617833333333332,8127882.666666667,259.1705395380656,8201775.666666667
1,tai35a.dat,3.7528333333333332,2723254.3333333335,29.813575585683186,2787800.6666666665
2,tai80b.dat,20.946166666666667,996137070.8333334,415.56193284193677,964993796.8333334
3,tai35b.dat,3.7383333333333333,352931618.8333333,14.653016114234925,386322155.2
4,tai50b.dat,12.457800000000002,627271024.6,60.65486800670624,625186812.1666666
5,sko56.dat,12.9378,39692.4,144.18163160483041,40838.0
6,tai60b.dat,13.487666666666664,826302525.8333334,123.76370322704315,852020093.3333334
7,tai40a.dat,4.158333333333334,3535345.6666666665,52.424216508865356,3621366.3333333335
8,sko49.dat,12.312666666666667,26757.333333333332,86.63347991307576,27965.666666666668
9,tai30a.dat,1.9363333333333335,1868915.3333333333,14.642832544114855,1949126.6666666667
10,tai40b.dat,4.143999999999999,858622659.3333334,27.393598675727844,838935351.5
11,tai80a.dat,20.999333333333333,15140809.0,869.6675182580948,15266908.333333334
12,sko64.dat,14.300666666666666,55150.0,246.329571723938,57188.666666666664
13,sko72.dat,19.314999999999998,75483.6,388.73959787686664,77679.66666666667
14,sko90.dat,22.823,130693.6,1021.9586480855942,133971.0
15,tai30b.dat,1.913,864973337.0,8.604655941327414,748001194.3333334
16,sko81.dat,21.351833333333335,103117.33333333333,636.5431512991587,106007.0
17,tai50a.dat,12.552,5599384.8,127.22386447588603,5702802.333333333
18,sko42.dat,4.444,18201.0,46.8651522397995,19150.666666666668
